WORD,FREQUENCY,PHONEME_LENGTH,MONOMORPHEME,ORTHO_LENGTH,LOG_FREQ,LANG
waehren,1256,5,TRUE,7,7.13568734702814,German
Mittwoch,1255,6,FALSE,8,7.13489085156588,German
oft,1253,3,TRUE,3,7.13329595489607,German
Montag,1247,6,FALSE,6,7.12849594568004,German
Beziehung,1245,6,FALSE,9,7.12689080889881,German
Vertreter,1242,9,FALSE,9,7.12447826249342,German
steigen,1242,7,TRUE,7,7.12447826249342,German
Freund,1237,6,TRUE,6,7.12044437239249,German
erkennen,1234,7,FALSE,8,7.11801620446533,German
Wissenschaft,1233,9,FALSE,12,7.11720550316434,German
Bevoelkerung,1230,10,FALSE,12,7.11476944836646,German
helfen,1225,6,TRUE,6,7.11069612297883,German
Plan,1222,4,TRUE,4,7.10824413973154,German
einige,1218,6,FALSE,6,7.10496544826984,German
Gesicht,1218,6,FALSE,7,7.10496544826984,German
oeffentlich,1217,8,FALSE,11,7.10414409298753,German
Spiel,1217,4,TRUE,5,7.10414409298753,German
bestimmen,1215,8,TRUE,9,7.10249935577465,German
Entscheidung,1205,9,FALSE,12,7.09423484592476,German
Geld,1204,4,TRUE,4,7.09340462586877,German
Mittel,1204,5,TRUE,6,7.09340462586877,German
Mutter,1198,5,TRUE,6,7.08840877867539,German
Gruppe,1195,5,TRUE,6,7.08590146436561,German
Sonntag,1195,6,FALSE,7,7.08590146436561,German
berichten,1193,8,FALSE,9,7.08422642209792,German
Angebot,1190,7,TRUE,7,7.08170858610557,German
technisch,1189,6,FALSE,9,7.08086789669078,German
Zahl,1187,3,TRUE,4,7.07918439460967,German
britisch,1187,6,FALSE,8,7.07918439460967,German
Dienstag,1186,7,TRUE,8,7.07834157955767,German
besondere,1185,9,TRUE,9,7.07749805356923,German
staendig,1183,7,FALSE,8,7.07580886397839,German
Leistung,1183,7,FALSE,8,7.07580886397839,German
her,1177,3,TRUE,3,7.07072410726028,German
August,1174,6,TRUE,6,7.06817200038804,German
Forderung,1172,8,FALSE,9,7.06646697013696,German
Erfahrung,1169,7,FALSE,9,7.06390396147207,German
europaeisch,1168,8,FALSE,11,7.06304816338817,German
gelingen,1168,7,TRUE,8,7.06304816338817,German
bezeichnen,1166,9,FALSE,10,7.06133436691044,German
Korrespondent,1165,12,FALSE,13,7.0604763659998,German
Ihr,1161,2,TRUE,3,7.05703698169789,German
Zukunft,1160,7,TRUE,7,7.05617528410041,German
dagegen,1159,7,FALSE,7,7.05531284333975,German
tief,1156,3,TRUE,4,7.05272104923232,German
bieten,1155,5,TRUE,6,7.05185562295589,German
sechs,1155,4,TRUE,5,7.05185562295589,German
spaeter,1152,6,FALSE,7,7.04925484125584,German
Donnerstag,1150,9,FALSE,10,7.0475172213573,German
voellig,1148,5,FALSE,7,7.04577657687951,German
